ID           | Valid Prime Powers (Identity Verified)
--------------------------------------------------------------------------------
U3.1         |  UNIVERSAL DETECTOR (All Checked)
D2.2         |  p^1, p^3
D2.1         |  p^1, p^2
D6.13        |  p^1, p^5
E2.1.1       |  p^2
E2.1.2       |  p^2
E2.2.1       |  p^2
E2.2.2       |  p^2
E2.2.3       |  p^2
E2.2.4       |  p^2
E2.2.5       |  p^2
E2.2.6       |  p^2
E2.2.7       |  p^2
E2.2.8       |  p^2
E2.3.6       |  p^2
E2.3.7       |  p^2
E2.3.15      |  p^2
E2.3.20      |  p^2
E2.3.23      |  p^2
E2.4.11      |  p^2
E2.4.22      |  p^2
E2.4.29      |  p^2
E2.4.34      |  p^2
E2.5.15      |  p^2
E2.5.29      |  p^2
E2.5.38      |  p^2
E2.5.45      |  p^2
E3.2.1       |  p^3
E3.2.3       |  p^3
E3.3.1       |  p^3
E3.3.3       |  p^3
E3.3.10      |  p^3
E3.3.12      |  p^3
E3.4.6       |  p^3
E4.2.1       |  p^4
E4.2.4       |  p^4
E4.2.2       |  p^4
E4.2.5       |  p^4
E4.2.7       |  p^4
E4.4.1       |  p^4
E4.4.9       |  p^4
E4.4.30      |  p^4
E4.5.3       |  p^4
E4.5.17      |  p^4
E4.5.49      |  p^4
E5.3.12      |  p^5
E5.3.15      |  p^5
E5.3.18      |  p^5
E5.3.2       |  p^5
E5.3.4       |  p^5
E5.3.5       |  p^5
E5.3.8       |  p^5
E5.4.1       |  p^5
E5.5.0       |  p^5
E5.5.2       |  p^5
E5.5.7       |  p^5
E5.6.12      |  p^5
D5.4         |  p^6
E6.6.1       |  p^6
E6.6.7       |  p^6
E6.6.8       |  p^6
E6.7.12      |  p^6
